id,defineid,en_US,ar_AE,pt_BR,es_AR,ru_RU,uk_UA
30195,stringid_mediaautofull,Media auto full screen,عرض تلقائي للالوسائط بملء الشاشة,Mídia tela cheia automática,Pantalla completa automática,Автоматический переход в режим полного экрана при просмотре медиа,Автоматичний перехід в режим повного екрану при перегляді медіа
30196,stringid_hdmiautoplay,HDMI autoplay,تشغيل HDMI تلقائي,Reprodução automática de HDMI,Reproducción automática de HDMI,Автоматическое воспроизведение HDMI,Автоматичне відтворення HDMI
30197,stringid_discautoplay,Disc autoplay,تشغيل تلقائي للقرص,Reprodução automática de disco,Reproducción automática de disco,Автоматическое воспроизведение диска,Автоматичне відтворення диска
30198,stringid_rdsenable,RDS enable,تمكين RDS,Ativar RDS,Habilitar RDS,Активировать RDS,Активувати RDS
30199,stringid_normal,Normal,عادي,Normal,Normal ,Нормальный,Нормальни
30200,stringid_near,Near,قريبًا,Perto,Cerca,Рядом,Близько
30201,stringid_alertvolume,Alert Volume,مستوى التنبيه,Volume do Aviso,Vol. de alerta,Звук будильника,Звук будильника
30202,stringid_display,Display,عرض,Tela,Pantalla,Дисплей,Дисплей
30203,stringid_parkingbrake,Parking brake check,التحقق من فرامل إيقاف السيارات,Verificação do freio de estacionamento,Verificación del freno de estacionamiento,Проверка ручного тормоза,Перевірка ручного гальма
30204,stringid_carspeedcheck,Car speed check,التحقق من سرعة السيارة,Verificação de velocidade do carro,Verificación de velocidad del automóvil,Проверка скорости автомобиля,Перевірка швидкості автомобіля
30205,stringid_parkingguide,Parking guide line,خط توجيه توقف السيارة,Linha de guia de estacionamento,Líneas de guía de estacionamiento,Указания по парковке,Вказівки по парковці
30206,stringid_systeminfo,System info,معلومات النظام,Informação do sistema,Información del sistema,Системная информация,Системна інформація
30207,stringid_bootloaderver,Bootloader version,إصدار أداة إعادة التحميل,Versão do bootloader,Versión del gestor de arranque,Версия загрузчика,Версія завантажувача
30208,stringid_systemmcuver,System MCU version,إصدار MCU للنظام,Versão do sistema MCU,Versión del sistema MCU,Версия системы MCU,Версія системи MCU
30209,stringid_displaymcuver,Display MCU version,إصدار MCU للعرض,Tela da versão do MCU,Visualizar la versión del MCU,Показать версию MCU,Показати версію MCU
30210,stringid_boardid,Board ID,معرف اللوحة,ID da placa,ID de la placa,Идентификация панели,Ідентифікація панелі
30211,stringid_btmodulever,BT Module Version,إصدار BT للنظام,Versão do Módulo BT,Versión del módulo BT,Версия модуля BT,Версія модуля BT
30212,stringid_m,M,M,M,M,М,М
30213,stringid_h,H,H,H,H,Ч,Ч
30214,stringid_d,D,D,D,D,Д,Д
30215,stringid_y,Y,Y,Y,Y,Г,Г
30216,stringid_pinerror,PIN error,خطأ برمزPIN,Erro PIN,Error de PIN,Ошибка ввода ПИН-кода,Помилка введення ПІН-коду
30217,stringid_trytimes,Try times:,أوقات المحاولة:,Tente vezes:,Intentos :,Количество попыток:,Кількість спроп
30218,stringid_pin,PIN,رمز PIN,PIN,PIN,ПИН-код,ПІН-код
30219,stringid_speedpulse,Speed pulse,نبضة سريعة,Pulso de velocidade,Pulso de velocidad,Скорость,Швидкість
30220,stringid_password,Password,كلمة المرور,Senha,Contraseña,Пароль,Пароль
30221,stringid_servicesexpiry,Connected services expiry,انتهاء صلاحية الخدمات المتصلة,Exp. dos serviços conectados,Exp. servicios conectados,Дата истечения срока подключения сервисов,Дата закінчення терміну підключення сервісів
30222,stringid_mediasettingosd,Media settings OSD,إعدادات الالوسائط OSD,Configurações de mídia OSD,Configuración de medios OSD,OSD настройки медиа,OSD Налаштування медіа
30223,stringid_mediasettings,Media Settings,إعدادات الالوسائط,Configurações de mídia,Configuración de medios,Настройки медиа,Налаштування медіа
30224,stringid_flat,Flat,بسيط,Plano,Plano,Ровная,Рівний
30225,stringid_classic,Classic,كلاسيكي,Clássico,Clásico,Классическая,Класичний
30226,stringid_rock,Rock,روك,Rock,Rock,Рок,Рок
30227,stringid_pop,Pop,بوب,Pop,Pop,Поп,Поп
30228,stringid_live,Live,مباشر,Ao Vivo,En vivo,Живая,Жива
30229,stringid_jazz,Jazz,جاز,Jazz,Jazz,Джаз,Джаз
30230,stringid_dance,Dance,رقص,Dança,Baile,Дэнс,Денс
30231,stringid_treble,Treble,إيقاع عالي الطبقة,Agudos,Agudos,Верхняя частота,Верхня частота
30232,stringid_middle,Middle,متوسط,Meio,Medios,Средняя,Середня
30233,stringid_bass,Bass,جهير,Baixo,Graves,Бас,Бас
30234,stringid_voicecommand,Voice Command,أمر صوتي,Comando de Voz,Comando de voz,Голосовая команда,Голосова команда
30235,stringid_timeout,Timeout,مهلة,Tempo esgotado,Tiempo agotado,Истечение срока ожидания,Закінчення терміну очікування
30236,stringid_invalidcommand,Invalid command,أمر غير صالح,Comando inválido,Comando inválido,Недопустимая команда,Неприпустима команда
30237,stringid_plzconnectbt,Please connect your Phone via Bluetooth,يرجى توصيل هاتفك عبر البلوتوث,"Por favor, conecte seu telefone via Bluetooth ","Por favor, conecte su teléfono a través de Bluetooth","Пожалуйста, подключите свой телефон через Bluetooth","Будь ласка, підключіть свій телефон через Bluetooth"
30238,stringid_plzspeakbeep,Please speak after the beep,يرجى التحدث بعد سماع الصفارة,"Por favor, fale depois do sinal",Por favor hable después del pitido,"Пожалуйста, говорите после гудка","Будь ласка, говоріть після гудка"
30239,stringid_invalidnumber,Invalid number,رقم غير صالح,Número inválido,Número inválido,Недопустимый номер,Неприпустимий номер
30240,stringid_callfullname,Call [Full Name],اتصال بـ [الاسم بالكامل],Ligue para [Nome Completo],Llamar a [Nombre completo],Вызвать [Полное имя],Викликати [повне ім'я]
30241,stringid_vcprepare,"Voice command function is under preparation, please trigger voice command after a few seconds",وظيفة الأوامر الصوتية قيد الإنشاء، لذا يرجى محاولة استخدام الأمر الصوتي بعد بضع ثوانٍ,"Função de comando de voz está em preparação, por favor, acione o comando de voz depois de alguns segundos","La función de comando de voz está en preparación, accione el comando de voz después de unos segundos","Подготовка функции голосовой команды, пожалуйста, подайте голосовую команду через несколько секунд","Підготовка функції голосової команди, будь ласка, подайте голосову команду через кілька секунд"
30242,stringid_vcupdated,"Voice language is being updated, please trigger voice command after a few seconds",جار تحديث اللغة الصوتية، لذا يرجى محاولة استخدام الأمر الصوتي بعد بضع ثوانٍ,"O idioma da voz está sendo atualizado. Por favor, acione o comando de voz após alguns segundos","El lenguaje de voz se está actualizando, por favor accione el comando de voz después de unos segundos","Голосовой язык обновляется, пожалуйста, подайте голосовую команду через несколько секунд","Голосовий мова оновлюється, будь ласка, подайте голосову команду через кілька секунд"
30243,stringid_volumecontrol,Volume control,التحكم في مستوى الصوت,Controle de volume,Control del volumen,Контроль звука,Контроль звуку
30244,stringid_navigation,Navigation,تنقل,Navegação,Navegación,Навигация,Навігація
30245,stringid_phone3,Phone,الهاتف,Telefone,Teléfono,Телефон,Телефон
30246,stringid_externalmedia,External Media,الوسائط خارجية,Mídia Externa,Medios Externos,Внешнее медиа,Зовнішнє медіа
30247,stringid_media3,Media,الوسائط,Mídia,Medios ,Медиа,Медіа
30248,stringid_prayer,Prayer,صلاة,Oração,Reproductor,Запрос,Запит
30249,stringid_statusbar,Status bar,شريط الحالة,Barra de status,Barra de estado,Панель состояния,Панель стану
30250,stringid_voicecomm,Voice Command,أمر صوتي,Comando de Voz,Comando de voz,Голосовая команда,Голосова команда
30251,stringid_generalsettings,General Settings,إعدادت عامة,Configurações Gerais,Config. general,Общие настройки,Загальні налаштування
30252,stringid_mediasettings2,Media Settings,إعدادات الالوسائط,Config. de Mídia,Config. de medios,Настройки медиа,Налаштування медіа
30253,stringid_toyotaparkassist,TOYOTA Park Assist,مساعد إيقاف تويوتا,Assist. estac.TOYOTA,TOYOTA Park Assist,Помощь по парку TOYOTA,Допомога по парку TOYOTA
30254,stringid_soundsettings,Sound Settings,إعدادات الصوت,Definições de Som,Ajustes de sonido,Настройки звука,Налаштування звуку
30255,stringid_wirelessconnection,Wireless Connection,اتصال لاسلكي,Conexão sem Fio,Conexión inalámbrica,Беспроводное соединение,Бездротове з'єднання
30256,stringid_wirelesssettings,Wireless Settings,ﺎﺘﺻﺎﻟ ﻼﺴﻠﻜﻳ,Config. Wireless,Config. Inalámbrica,Беспроводные настройки,Бездротові налаштування
30257,stringid_radiofm,Radio FM,راديو إف إم,Rádio FM,Radio FM,Радио FM,Радіо FM
30258,stringid_radioam,Radio AM,راديو إيه إم,Rádio AM,Radio AM,Радио AM,Радіо AM
30259,stringid_noradiosignal,No Radio Signal,لا توجد إشارة راديو,Nenhum Sinal de Rádio,Sin señal de radio,Радиосигнал отсутствует,Радіосигнал відсутній
30260,stringid_nodisc,No Disc,بدون قرص,Nenhum Disco,Sin disco,Диск отсутствует,Диск відсутній
30261,stringid_nobtdevice,No BT device,بدون جهاز بلوتوث,Nenhum dispositivo BT,Sin dispositivo BT,BT-устройство отсутствует,BT-пристрій відсутній
30262,stringid_nousbdevice,No USB device,بدون جهاز USB,Sem dispositivo USB,Sin dispositivo USB,USB-устройство отсутствует,USB-пристрій відсутній
30263,stringid_nohdmidevice,No HDMI device,بدون جهاز HDMI,Sem dispositivo HDMI,Sin dispositivo HDMI,HDMI-устройство отсутствует,HDMI-пристрій відсутній
30264,stringid_nowificonn,No Wi-Fi connection,بدون اتصال بشبكة Wi-Fi,Sem conexão Wi-Fi,Sin conexión Wi-Fi,Подключение к Wi-Fi отсутствует,Підключення до Wi-Fi відсутня
30265,stringid_wifidisplaydisconn,Wi-Fi display device disconnected,تم فصل جهاز شاشة شبكة Wi-Fi,Dispositivo de tela Wi-Fi desconectado,Dispositivo de pantalla Wi-Fi desconectado,Устройство показа с Wi-Fi отсутствует,Пристрій показу з Wi-Fi відсутній
30266,stringid_discinserted,Disc inserted,تم إدخال القرص,Disco inserido,Disco insertado,Диск вставлен,Диск вставлений
30267,stringid_usbdevice,USB device,جهاز USB,Dispositivo USB,Dispositivo USB,USB-устройство,USB-пристрій
30268,stringid_ipodiphone,iPod/iPhone ,أي باد/أي فون ,iPod/iPhone,iPod/iPhone ,iPod/iPhone ,iPod/iPhone 
30269,stringid_wifidisplaydev,Wi-Fi display device,جهاز شاشة شبكة Wi-Fi,Disp. exibição Wi-Fi,Disp. Visualización Wi-Fi,Устройства показа Wi-Fi,Пристрої показу Wi-Fi
30270,stringid_general,General,عامة,Geral,General,Общее,Загальне
30271,stringid_unsupportedfs,Unsupported file system,ملف شكل غير مدعوم,Sistema de arquivos não suportado,Sistema de archivos no admitido,Система файлов не поддерживается,Система файлів не підтримується
30272,stringid_network,Network,إتصال شبكة,Rede,Red,Сеть,Мережа
30273,stringid_wifi3g,Wi-Fi/3G,3G/Wi-Fi,Wi-Fi/3G,Wi-Fi/3G,Wi-Fi/3G,Wi-Fi / 3G
30274,stringid_unabletoplayavfront,"Unable to play, audio/video priority to front screen",لا يمكن تشغيل الملف الصوتي/الفيديو، الأولوية للشاشة الأمامية,"Não é possível reproduzir, prioridade de áudio/vídeo para a tela frontal","No se puede reproducir, prioridad de audio / video a la pantalla frontal","Невозможно воспроизвести, приоритет аудио / видео на переднем экране","Неможливо відтворити, пріоритет аудіо / відео на передньому екрані"
30275,stringid_usbnoresp,USB Device No Response,جهاز USB لا اجابة,Dispositivo USB sem resposta,Dispositivo USB sin respuesta,USB-устройство не отвечает,USB-пристрій не відповідає
30276,stringid_unsupportedusb,Unsupported USB Device,غير مدعوم جهاز USB,Dispositivo USB não suportado,Dispositivo USB no compatible,Не поддерживаемое USB-устройство,Нi Підтримуваний USB-пристрій
30277,stringid_usbhubnotsupported,USB hub is not supported,لم يتم دعم محور USB,Hub USB não é suportado,Hub USB no compatible,USB-концентратор не поддерживается,USB-концентратор не підтримується
30278,stringid_eula,EULA,شريط الحالة,EULA,EULA,EULA,EULA
30279,stringid_enduserlicagree,End User License Agreement,اتفاقية ترخيص المستخدم النهائي,Contrato de Licença de Usuário Final,Acuerdo de licencia de usuario final,Лицензионное соглашение с конечным пользователем,Ліцензійна угода з кінцевим користувачем
30280,stringid_dontshowagain,Don't show again,يرجى عدم العرض مرة أخرى,Não mostrar de novo,No mostrar de nuevo,Не показывать снова,Не показувати знову
30281,stringid_agree,Agree,أوافق,Aceitar,De acuerdo,Согласиться,Погодитися
30282,stringid_previous,Previous,السابق,Anterior,Anterior,Предыдущее,Попереднє
30283,stringid_next,Next,التالي,Próximo,Siguiente,Следующее,Наступний
30284,stringid_setlangplzrefrain,Setting language... Please refrain from using other functions at this moment until completion,لغة الإعداد.... يرجى الامتناع عن استخدام وظائف أخرى في الوقت الراهن حتى الانتهاء,"Definir o idioma... Por favor, abstenha-se de usar outras funções neste momento até a conclusão",Configurando idioma... Por favor no utilice otras funciones hasta que finalice el proceso,"Настройка языка… Пожалуйста, в это время не используйте другие функции до завершения","Налаштування мови ... будь ласка, в цей час не використовуйте інші функції до завершення"
30285,stringid_preparing,Preparing…,جارٍ الإعداد...,Processando…,...Preparando,Подготовка…,Готуйся
30286,stringid_autoaccept,Auto accept,قبول تلقائي,Aceitar automaticamente,Auto aceptar,Автоматическое принятие,Автоматичне прийняття
30287,stringid_skip,Skip,تخطى,Pule,Saltar,Пропустить,Пропустити
30288,stringid_siri,Siri,سيري,Siri,Siri,Siri,Siri
30289,stringid_plzenablesiri,Please enable Siri in the phone settings,الرجاء تمكين سيري في إعدادات الهاتف,Favor habilitar SIRI nas configurações do telefone,Por favor habilite Siri en la configuración del teléfono,"Пожалуйста, активируйте Siri в настройках телефона","Будь ласка, активуйте Siri в налаштуваннях телефону"
30290,stringid_mfiauthfailed,MFI Auth Failed,فشلت مصادقة MFI,Autenticação de MFI falhou,Autenticación MFI fallido,Не удалось аутентифицировать MFI,Не вдалося автентифікувати MFI
30291,stringid_identifyrejected,Identification Rejected,تم رفض التعريف,Identificação Rejeitada,Identificación rechazada,Идентификация отклонена,Ідентифікація відхилена
30292,stringid_ejected,Ejected,مرفوض,Ejetando,Expulsado,Извлечено,Витягнено
30293,stringid_spanish,Spanish,أسباني,Espanhol,Español,Испанский,Іспанський
30294,stringid_portuguese,Portuguese,برتغالي,Português,Portugués,Португальский,Португальський
30295,stringid_checksurronding,Check surroundings for safety.,ﺖﺤﻘﻗ ﻢﻣﺍ ﻲﺤﻴﻃ ﺐﻛ ﻞﻀﻣﺎﻧ ﺎﻠﺳﻼﻣﺓ.,Verifique os arredores para a segurança.,Mire alrededor por seguridad.,Проверить безопасность окружения,Перевірити безпеку оточення
30296,stringid_settinglangplztill,Setting language... Please refrain from using other;; functions at this moment until completion,لغة الإعداد.... يرجى الامتناع عن استخدام وظائف ;;أخرى في الوقت الراهن حتى الانتهاء,"Definindo idioma... Favor, não usar outras;;  funções no momento até a conclusão ",Configurando idioma... Por favor no utilice otras;; funciones hasta que finalice el proceso,"Настройка языка… Пожалуйста, в это время не используйте другие;; функции до завершения","Налаштування мови ... будь ласка, в цей час не використовуйте інші;; функції до завершення"
30297,stringid_compass,Compass,القبلة,Compass,Compass,Компас,Компас
30298,stringid_btaudioconnectfailed,BT Audio connect failed,فشل فصل الصوتBT,BT Áudio conexão falhou,BT Audio conexión fallida,Не удалось подключиться к BT аудио,Не вдалося підключитися до BT аудіо
35000,stringid_talk,Talk,Talk,Conversa,Hable,Разговор,Розмова
35001,stringid_classicrock,Classic Rock,Classic Rock,Rock Clássico,Rock Clásico,Классический рок,Класичний рок
35002,stringid_adult,Adult Hits,Adult Hits,Hits Adultos,Hits para Adultos,Хиты для взрослых,Хіти для дорослих
35003,stringid_softrock,Soft Rock,Soft Rock,Rock Suave,Rock Suave,Легкий рок,легкій рок
35004,stringid_top40,Top 40,Top 40,Top 40,Top 40,Топ 40,Топ 40
35005,stringid_oldies,Oldies,Oldies,Antigas,De Antaño,Старое,Старе
35006,stringid_soft,Soft,Soft,Suave,Suave,Мягкий,М'який
35007,stringid_nostalgia,Nostalgia,Nostalgia,Nostalgia,Nostalgia,Ностальгия,Ностальгія
35008,stringid_classical,Classical,Classical,Clássica,Clásico,Классический,Класичний
35009,stringid_rhythmandblues,Rhythm and Blues,Rhythm and Blues,Rhythm and Blues,Ritmo y Blues,Ритм и Блюз,Ритм і Блюз
35010,stringid_softrhythmblue,Soft Rhythm&Blue,Soft Rhythm&Blue,Suave Rhythm and Blues,Ritmo Suave y Blue,Мягкий ритм и блюз,М'який ритм і блюз
35011,stringid_lang,Language,Language,Língua,Idioma,Язык,Мова
35012,stringid_religiousmusic,Religious Music,Religious Music,Música Religiosa,Música Religiosa,Религиозная музыка,Релігійна музика
35013,stringid_religioustalk,Religious Talk,Religious Talk,Conversa Religiosa,Charla Religiosa,Религиозный разговор,РЕЛІГІЙНА розмова
35014,stringid_presonality,Personality,Personality,Personalidade,Personalidad,Личность,Особистість
35015,stringid_public,Public,Public,Público,Público,Публичный,Публічний
35016,stringid_college,College,College,Faculdade,Colegial,Колледж,Коледж
35017,stringid_spanishtalk,Spanish Talk,Spanish Talk,Conversa Espanhola,Habla Hispana,Испанский разговор,Іспанська розмова
35018,stringid_spanishmusic,Spanish Music,Spanish Music,Música Espanhola,Música Hispana,Испанская музыка,Іспанська музика
35019,stringid_hiphop,Hip Hop,Hip Hop,Hip Hop,Hip Hop,Хип-хоп,Хіп-хоп
35020,stringid_emergencytest,Emergency Test,Emergency Test,Teste de Emergência,Prueba de Emergencia,Экспресс-тест,Експрес-тест
35021,stringid_emergency,Emergency,Emergency,Emergência,Emergencia,Экстренный случай,Екстрений випадок
35022,stringid_country,Country,Country,Country,Country,Страна,Країна
35024,stringid_clickheretoback,Click here to go back to the active call,اضغط هنا للعودة إلى المكالمة النشطة,Clique p/ voltar à chamada ativa,Regresar para activar la llamada,"Нажать сюда, чтобы вернуться к активному вызову","Натиснути сюди, щоб повернутися до активного виклику"
35025,stringid_mute2,Mute,كتم الصوت,Mudo,Mudo,Без звука,Без звуку
35026,stringid_insp,Inspection mode,وضع الفحص,Modo de inspeção,Modo de inspección,Режим проверки,Режим перевірки
35027,stringid_reversemute,Reverse mute,عكس كتم الصوت,Reverter mudo,Mudo inverso,Перейти в режим “без звука”,Перейти в режим “без звуку”
35028,stringid_compassmode,Compass mode,وضع البوصلة,Modo bússola,Modo brújula,Режим компасу,Режим компас
35029,stringid_customizekey,Customize Key,تخصيص مفتاح,Personalizar chave,Personalizar clave,Создать ключ в соответствии с требованиями заказчика,Створити ключ відповідно до вимог замовника
35030,stringid_phonestatus,Phone status,حالة الهاتف,Status do telefone,Estado del teléfono,Состояние телефона,Стан телефону
35031,stringid_security,Security,الأمن,Segurança,Seguridad,Защита,Захист
35032,stringid_band,Band,حزمة,Banda,Banda,Полоса,Смуга
35033,stringid_connectionisfull,"The connection is full. If you want to connect, please disconnect other phone",الاتصال ممتلئ. إذا كنت ترغب في الاصتال، يرجى فصل أي جهاز آخر,"A conexão está cheia. Se deseja se conectar, desconecte outro telefone","La conexión está llena. Si quiere conectarte, desconecta otro teléfono.","Подключение полное. Если вы хотите подключиться, пожалуйста, отключите другой телефон","Підключення повне. Якщо ви хочете підключитися, будь ласка, вимкніть телефон"
35034,stringid_changetheaudiosource,"If change the audio source, system will disconnect one of the A2DP profile and disconnect this phone",في حالة تغيير مصدر الصوت، سيقوم النظام بفصل أحد ملفات تعريف A2DP وفصل هذا الهاتف,"Se alterar a fonte de áudio, o sistema desconectará um dos perfis A2DP e desconectará este telefone","Si cambia la fuente de audio, el sistema desconectará uno de los perfiles A2DP y desconectará este teléfono",При изменении источника аудио система отключит одиз из профилей A2DP и отключите этот телефон,При зміні джерела аудіо система відключить одіз з профілів A2DP і вимкніть цей телефон
35035,stringid_presstousebtaudio,"Press %1 to use BT Audio, will automatic disconnect other phone's audio profile",اضغط على٪ 1 لاستخدام خاصية BT Audio (الصوت عبر البلوتوث)، وسيقوم تلقائيًا بفصل الملف الصوتي للهاتف الآخر,"Pressione %1 para usar o áudio BT, o perfil de áudio do outro telefone será desconectado automaticamente","Presione %1 para usar el audio BT, desconectará automáticamente el perfil de audio de otro teléfono","Нажмите %1 для использования BT Audio, автоматически подключится аудио профиль другого телефона","Натисніть %1 для використання BT Audio, автоматично підключиться аудіо профіль іншого телефону"
35036,stringid_presstodisconnectphone,Press %1 and manually disconnect other phone first if you want to use phone call function,أولاً، اضغط على ٪ 1 وافصل الهاتف الآخر يدويًا إذا كنت تريد استخدام وظيفة الاتصال الهاتفي,Pressione %1 e desconecte manualmente o outro telefone primeiro se você quiser usar a função de chamada telefônica,Presione %1 y desconecte manualmente el otro teléfono primero si desea usar la función de llamada telefónica,"Нажмите %1 и вручную отключите сначала другой телефон, если вы хотите использовать функцию звонка телефона","Натисніть %1 і вручну вимкніть спочатку інший телефон, якщо ви хочете використовувати функцію дзвінка телефону"
35037,stringid_changethename,Change the name,تغيير الاسم,Alterar o nome,Cambia el nombre,Сменить имя,Змінити ім'я
35038,stringid_wifihospot,Wi-Fi Hotspot,نقطة اتصال لاسلكية لشبكة Wi-Fi,Ponto de acesso Wi-Fi,Punto de acceso WiFi,Точка доступа Wi-Fi,Точка доступу Wi-Fi
35039,stringid_apps,Apps,التطبيقات,Aplicativos,Aplicaciones,Приложения,Застосування
35060,stringid_thiskeyisundefined,"This key is undefined, go to setup page to define this key first",هذا المفتاح غير معرف، انتقل إلى صفحة الإعداد لتعريف هذا المفتاح أولاً,"Esta chave é indefinida, vá para a página de configuração para definir esta chave primeiro","Esta clave no está definida, vaya a la página de configuración para definir esta clave primero","Этот ключ не определен, сначала пройдите на страницу настройки для определения ключа","Цей ключ не визначено, спочатку пройдіть на сторінку налаштування для визначення ключа"
35061,stringid_inspectionmode,Inspection mode,وضع الفحص,Modo de inspeção,Modo de inspección,Режим проверки,Режим перевірки
35062,stringid_syslangdialogtxt,Setting language... Please refrain from using other functions at this moment until completion,ﻞﻏﺓ ﺍﻺﻋﺩﺍﺩ.... ﻱﺮﺟﻯ ﺍﻼﻤﺘﻧﺎﻋ ﻊﻧ ﺎﺴﺘﺧﺩﺎﻣ ﻮﻇﺎﺌﻓ ﺄﺧﺭﻯ ﻒﻳ ﺎﻟﻮﻘﺗ ﺎﻟﺭﺎﻬﻧ ﺢﺗﻯ ﺍﻼﻨﺘﻫﺍﺀ,"Definindo idioma... Favor, não usar outras funções no momento até a conclusão",Configurando idioma... Por favor no utilice otras funciones hasta que finalice el proceso,"Установка языка… Пожалуйста, не используйте в это время другие функции до полного завершения","Установка мови... Будь ласка, не використовуйте в цей час інші функції до повного завершення"
35063,stringid_changethepassword,Change the password,تغيير كلمة المرور,Alterar a senha,Cambiar la contraseña,Сменить пароль,Змінити пароль
35070,stringid_from,From,من,De,Desde,От,Від
35071,stringid_serviceunavailable,Service temporarily unavailable,الخدمة غير متاحة مؤقتًا,Serviço temporariamente indisponível,Servicio temporalmente no disponible,Сервис временно недоступен,Сервіс тимчасово недоступний
35072,stringid_removepincode,4G Internet access is not available. Please remove pin code from the SIM card,الوصول إلى شبكة إنترنت 4G غير متوفر. يرجى إزالة رمز pin من بطاقة SIM,"Acesso à Internet 4G não está disponível. Por favor, remova o código PIN do cartão SIM","El acceso a Internet 4G no está disponible. Por favor, elimine el código PIN de la tarjeta SIM","Нет доступа к 4G интернету. Пожалуйста, смените пин-код от СИМ-карты","Немає доступу до 4G інтернету. Будь ласка, змініть пін-код від сім-карти"
35080,stringid_getmoreinfo,Get more information,الحصول على مزيد من المعلومات,Obter mais informações,Obtener más información,Получить больше информации,Отримати більше інформації
35081,stringid_connectmydriveapp,Please connect My Drive Connect enabled;; mobile phone via USB cable.,يرجى توصيل My Drive Connect؛ في الهاتف المحمول عبر كابل USB.,"Por favor, conecte o telefone celular habilitado para o My Drive Connect via cabo USB.",Conecte el teléfono móvil con el My Drive Connect mediante cable USB.,"Пожалуйста, подключитесь к My Drive Connect enabled;; на мобильном телефоне через USB-кабель","Будь ласка, підключіться до My Drive Connect enabled;; на мобільному телефоні через USB-кабель"
35082,stringid_ensuremydriveappinstall,Please ensure My Drive Connect is;; installed in your mobile phone.,يرجى توصيل My Drive Connect؛ المثبت على الهاتف المحمول.,Certifique-se de que o My Drive Connect esteja instalado no seu telefone celular.,Asegúrese de que My Drive Connect esté instalado en su teléfono móvil.,"Пожалуйста, убедитесь, что My Drive;; установлено на вашем мобильном телефоне.","Будь ласка, переконайтеся, що My Drive;; встановлено на вашому мобільному телефоні."
35083,stringid_getmydriveapp,Get My Drive Connect by QR Code.,احصل على My Drive Connect بواسطة رمز QR.,Obter o My Drive Connect pelo código QR.,Descarga el My Drive Connect por código QR.,Получите My Drive Connect через QR-код.,Отримайте My Drive Connect через QR-код.
35084,stringid_mydriveappbtfail,BT connection failed!;; Please ensure your mobile phone BT is connected with this infotainment.,فشل الاتصال عبر تقنية البلوتوث!؛ يرجى التأكد من اتصال تقنية البلوتوث لهاتفك المحمول مع برنامج المعلومات والتسلية.,"A conexão BT falhou! Por favor, certifique-se de que o BT do seu telefone celular está ligado a este infoentretenimento.","¡Falló la conexión de BT! Por favor, asegúrese de que el BT de su teléfono móvil está conectado a este infoentretenimiento.","Соединение BT не удалось!;; Пожалуйста, убедитесь, что BT вашего мобильного телефона подключено к данной информационно-развлекательной программе.","З'єднання BT не вдалося!;; Будь ласка, переконайтеся, що BT вашого мобільного телефону підключено до даної інформаційно-розважальної програми."
35085,stringid_connectmobilefail,Connection to your mobile phone failed.;; Disconnect USB cable from device and;; reconnect or try restarting device.,فشل الاتصال بهاتفك المحمول؛ افصل كبل USB عن الجهاز؛وأعد الاتصال أو حاول إعادة تشغيل الجهاز.,A conexão ao seu telefone celular falhou. Desligue o cabo USB do dispositivo e volte a conectar ou tente reiniciar o dispositivo.,La conexión a su teléfono móvil falló. Desconecte el cable USB del dispositivo y vuelva a conectarse o intente reiniciar el dispositivo.,Подключение к вашему мобильному телефону не удалось.;; Отключите USB-кабель от устройства и;; подключите снова или попробуйте перезапустить устройство.,Підключення до вашого мобільного телефону не вдалося.;; Відключіть USB-кабель від пристрою і;; підключіть знову або спробуйте перезапустити пристрій.
35086,stringid_mydriveappunavailable,My Drive Connect is not available.;; Ensure your mobile phone is unlocked and application is installed.,تطبيقات My Drive Connect غير متاحة، تأكد من إلغاء قفل هاتفك المحمول وتثبيت التطبيق.,My Drive Connect não disponível. Certifique-se de que seu telefone celular esteja desbloqueado e que o aplicativo esteja instalado.,My Drive Connect no está disponible. Asegúrese de que su teléfono móvil esté desbloqueado y la aplicación esté instalada.,"My Drive Connect недоступно.;; Убедитесь, что ваш мобильный телефон разблокирован, и приложение установлено.","My Drive Connect недоступно.;; Переконайтеся, що ваш мобільний телефон розблоковано, і додаток встановлено."
35087,stringid_retry,Retry,إعادة المحاولة,Tentar novamente,Intentar de nuevo,Попробовать снова,Спробувати знову
35088,stringid_selectphone,Please select which phone to dial out?,الرجاء تحديد الهاتف الذي ترغب في الاتصال به؟,"Por favor, selecione qual telefone discar?","¿Por favor, seleccione el teléfono para marcar?","Пожалуйста, выберите, на какой телефон набрать?","Будь ласка, виберіть, на який телефон набрати?"
35089,stringid_unabletonavi,Unable to navigate your destination!,لا يمكن التنقل إلى الوجهة!,Não é possível navegar para o seu destino!,¡Incapaz de navegar su destino!,Невозможно определить ваше место назначения!,Неможливо визначити ваше місце призначення!
35090,stringid_mydriveapps,My Drive Connect,My Drive Connect,My Drive Connect,My Drive Connect,My Drive Connect,My Drive Connect
35091,stringid_na_35091,4G is not available,شبكة 4G غير متاحة,4G não está disponível,4G no está disponible,4G недоступно,4G недоступний
35092,stringid_na_35092,4G Internet is not accessible,لا يمكن الوصول الوصول إلى شبكة إنترنت 4G,Internet 4G não está acessível,Internet 4G no es accesible,4G интернет недоступен,4G інтернет недоступний
